stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
10159,,Allen St and Oak St,,41.682746,-72.775768,,,,,
1016,,Hills St and Opp Greenwood St,,41.741086,-72.597071,,,,,
10160,,Oak St and 254 Oak St,,41.681209,-72.776096,,,,,
10161,,Oak St and Lasalle St,,41.679645,-72.775831,,,,,
10162,,Oak St and Daly Ave,,41.67809,-72.775566,,,,,
10163,,Oak St and Putnam St,,41.676419,-72.775277,,,,,
10164,,Oak St and North St,,41.674712,-72.775205,,,,,
10165,,North St and Erwin Pl,,41.673971,-72.776162,,,,,
10166,,North St and Tremont St,,41.673801,-72.77794,,,,,
10167,,North St and Sexton St,,41.673472,-72.780699,,,,,
10168,,Main St and Opp Lee St,,41.672355,-72.781329,,,,,
10169,,Main St and Lafayette St,,41.671309,-72.781269,,,,,
1017,,Hills St and Opp Greenbrier Rd,,41.740634,-72.599531,,,,,
10170,,Jones Hill Rd and Bellevue Ave,,41.248968,-72.977187,,,,,
10182,,Campbell Ave and OPP West Walk,,41.259157,-72.945576,,,,,
10184,,Lincoln St and Lincoln Ct,,41.664746,-72.796819,,,,,
10186,,Black Rock Ave and Opp S Burritt St,,41.664487,-72.798452,,,,,
10187,,Black Rock Ave and Sherwood Rd,,41.663808,-72.800581,,,,,
10189,,Black Rock Ave and Opp Harrison St,,41.662013,-72.802651,,,,,
1019,,Hills St and Forbes St,,41.740096,-72.603578,,,,,
10191,,Black Rock Ave and Oldfield St,,41.661701,-72.80651,,,,,
10192,,Black Rock Ave and Opp New Hampshire Dr,,41.66305,-72.808166,,,,,
10193,,Black Rock Ave and Warren St,,41.663774,-72.810973,,,,,
10194,,Black Rock Ave and Opp Texas Dr,,41.664561,-72.813428,,,,,
10195,,Woodford Ave and Mereline Ave,,41.66885,-72.846806,,,,,
10196,,Woodford Ave and Dallas Ave,,41.669913,-72.850181,,,,,
10197,,Woodford Ave and Kent St,,41.671378,-72.85467,,,,,
10198,,Woodford Ave and East St,,41.672646,-72.858639,,,,,
102,,Farmington Ave and S Main St,,41.762042,-72.741366,,,,,
1020,,Forbes St and Opp Shadycrest Dr,,41.741592,-72.60516,,,,,
10200,,E Main St and Opp Crown St,,41.672349,-72.864217,,,,,
10201,,E Main St and Opp Plainville Ctr Library,,41.67175,-72.86585,,,,,
10202,,E Main St and Norton Pl,,41.673583,-72.860987,,,,,
10203,,W Main St and Opp Pierce St,,41.670846,-72.869358,,,,,
10204,,W Main St and Opp Strong Ct,,41.670283,-72.872128,,,,,
10205,,W Main St and N Washington St,,41.670094,-72.87508,,,,,
10206,,Forestville Ave and Opp W Main St,,41.66994,-72.879447,,,,,
10207,,E Main St and Broad St,,41.67272,-72.897331,,,,,
10208,,Mountain Rd and Middle St,,41.666591,-72.922742,,,,,
1021,,Forbes St and Bradley St,,41.74379,-72.604935,,,,,
10210,,Boston Post Rd and 512 Boston Post Rd,,41.083811,-73.463324,,,,,
10211,,Boston Post Rd and 523 Boston Post Rd,,41.083549,-73.463886,,,,,
10212,,Forestville Ave and Bohemia St,,41.67277,-72.885631,,,,,
10213,,E Main St and 189 E Main St,,41.672884,-72.891209,,,,,
10214,,E Main St and Lincoln Ave,,41.672721,-72.894875,,,,,
10215,,Broad St and Central St,,41.673327,-72.898638,,,,,
10216,,Broad St and Broad Pl,,41.671974,-72.903996,,,,,
10217,,Broad St and Emmett St,,41.672166,-72.912115,,,,,
10218,,Emmett St and Broad St,,41.671593,-72.913215,,,,,
10219,,Pine St and Emmett St,,41.668572,-72.914167,,,,,
1022,,Forbes St and Salem Rd,,41.745452,-72.605159,,,,,
10220,,Pine St and Dunkin Donuts,,41.66703,-72.920783,,,,,
10221,,Pine St and Opp Bishop St,,41.668088,-72.91684,,,,,
10222,,South St and Opp Ridge Rd,,41.668186,-72.928757,,,,,
10223,,South St and Opp East Rd,,41.668479,-72.931249,,,,,
10224,,South St and East St,,41.668781,-72.933814,,,,,
10225,,South St and Mellen St,,41.668707,-72.936694,,,,,
10227,,South St and Willis St,,41.668043,-72.939608,,,,,
10228,,Main St and South St,,41.668442,-72.943117,,,,,
10230,,Saw Mill Rd and Hampton Inn,,41.269631,-72.975679,,,,,
10231,,Mitchell Dr and Opp Wilbur Cross High School,,41.324165,-72.909158,,,,,
10234,,Stafford Ave and Fair St,,41.680277,-72.9034,,,,,
10235,,Stafford Ave and Jewel St,,41.686586,-72.903456,,,,,
10236,,Stafford Ave and Mountain View Ave,,41.693089,-72.907601,,,,,
10238,,Farmington Ave and Mix St,,41.693415,-72.914984,,,,,
10239,,Farmington Ave and Vincent Rd,,41.692358,-72.917996,,,,,
1024,,Forest St and Blueberry Ln,,41.756763,-72.578729,,,,,
10240,,Farmington Ave and Opp Morris Ave,,41.691454,-72.920585,,,,,
10243,,Farmington Ave and Hoover Ave,,41.688811,-72.930093,,,,,
10244,,Farmington Ave and Oakland St,,41.686356,-72.937181,,,,,
10245,,Farmington Ave and Opp Stewart St,,41.683762,-72.940492,,,,,
10246,,Farmington Ave and Burlington Ave,,41.682223,-72.942523,,,,,
10247,,N Main St and North St,,41.680735,-72.9473,,,,,
10249,,N Main St and Center St,,41.676142,-72.946868,,,,,
